This file was created using the 202512 CRSP database.
It contains value- and equal-weighted returns for  5 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,Cnsmr,Manuf,HiTec,Hlth,Other
196001,  -7.20,  -7.09,  -5.47,  -6.38,  -4.51
196002,   1.22,  -0.09,   6.65,   0.31,  -0.02
196003,  -2.14,  -1.90,   1.00,   1.62,  -2.27
196004,  -0.12,  -2.76,  -0.16,   1.65,  -1.11
196005,   2.92,   1.61,   6.89,  13.73,   0.25
196006,   2.93,   2.92,   0.71,  -0.16,   2.79
196007,  -1.40,  -2.41,  -2.45,  -3.87,  -1.39
196008,   3.78,   2.81,   3.65,   2.47,   3.11
196009,  -5.57,  -5.07,  -7.53,  -8.72,  -5.70
196010,   0.24,   0.00,  -1.76,  -3.49,  -0.81
196011,   5.00,   4.24,   5.75,   4.05,   6.67
196012,   2.30,   4.81,   7.24,   6.22,   4.21
196101,   5.67,   7.05,   5.19,   6.02,   7.78
196102,   5.34,   3.64,   1.78,   5.20,   5.68
196103,   4.67,   1.65,   4.98,   3.80,   3.55
196104,  -0.94,   0.86,   0.63,  -0.31,   0.57
196105,   3.04,   2.96,   0.99,   2.28,   4.18
196106,  -0.90,  -3.00,  -3.67,  -3.43,  -3.74
196107,   3.74,   2.52,   3.99,   3.50,   1.26
196108,   3.45,   2.19,   2.42,   3.86,   5.19
196109,   1.52,  -3.63,  -1.18,  -1.23,  -1.80
196110,   4.00,   2.69,   1.89,   3.66,   2.30
196111,   6.68,   3.66,   5.48,   3.13,   3.84
196112,  -0.53,   0.03,   1.20,  -1.99,  -1.86
196201,  -4.92,  -2.39,  -5.50,  -4.78,  -1.46
196202,   0.04,   2.70,   1.95,   3.75,   1.70
196203,  -0.05,  -0.22,  -1.32,   0.41,  -1.77
196204,  -5.60,  -5.59,  -8.01, -11.34,  -7.08
196205,  -8.40,  -7.89,  -9.14, -10.81,  -7.86
196206,  -8.26,  -7.24, -10.03, -12.90,  -9.16
196207,   5.98,   5.68,   9.20,   7.78,   5.74
196208,   2.85,   2.41,   2.47,  -7.92,   3.83
196209,  -4.66,  -3.94,  -7.46,  -4.05,  -5.76
196210,  -0.65,   0.32,   1.35,   2.46,   0.57
